time,obs,model
2018-09-16 05:00:00,0.1,273.81573486328125
2018-09-16 06:00:00,0.5,273.9561767578125
2018-09-16 07:00:00,0.7,274.13153076171875
2018-09-16 08:00:00,1.7,274.5345458984375
2018-09-16 09:00:00,1.7,275.0595703125
2018-09-16 10:00:00,2.1,275.203857421875
2018-09-16 11:00:00,2.5,275.320556640625
2018-09-16 12:00:00,1.7,275.388427734375
2018-09-16 13:00:00,2.1,275.418212890625
2018-09-16 14:00:00,1.8,275.52587890625
2018-09-16 15:00:00,1.9,275.61279296875
2018-09-16 16:00:00,2.3,275.70703125
2018-09-16 17:00:00,1.8,275.70458984375
2018-09-16 18:00:00,2.1,275.6103515625
2018-09-16 19:00:00,1.7,275.7300720214844
2018-09-16 20:00:00,2.1,275.898193359375
2018-09-16 21:00:00,3.0,275.900390625
2018-09-16 22:00:00,3.0,275.86865234375
2018-09-16 23:00:00,3.0,275.880126953125
2018-09-17 00:00:00,2.2,275.85791015625
2018-09-17 01:00:00,1.9,275.5947265625
2018-09-17 02:00:00,1.8,275.19482421875
2018-09-17 03:00:00,1.8,274.86083984375
2018-09-17 04:00:00,1.6,275.004150390625
2018-09-17 05:00:00,1.5,274.84716796875
2018-09-17 06:00:00,1.2,274.8896484375
2018-09-17 07:00:00,1.6,274.884521484375
2018-09-17 08:00:00,1.8,275.142822265625
2018-09-17 09:00:00,2.7,275.5302734375
2018-09-17 10:00:00,2.5,275.849609375
2018-09-17 11:00:00,2.6,276.061279296875
2018-09-17 12:00:00,2.9,276.183837890625
2018-09-17 13:00:00,3.1,276.103271484375
2018-09-17 14:00:00,3.0,275.91015625
2018-09-17 15:00:00,3.2,275.693603515625
2018-09-17 16:00:00,3.0,275.388427734375
2018-09-17 17:00:00,2.7,275.1396484375
2018-09-17 18:00:00,2.3,274.81103515625
2018-09-17 19:00:00,1.9,274.71728515625
2018-09-17 20:00:00,1.9,274.6240234375
2018-09-17 21:00:00,1.5,274.630126953125
2018-09-17 22:00:00,1.4,274.44580078125
2018-09-17 23:00:00,1.3,274.295654296875
2018-09-18 00:00:00,0.9,274.1373596191406
2018-09-18 01:00:00,0.7,273.982666015625
2018-09-18 02:00:00,0.5,274.0020751953125
2018-09-18 03:00:00,0.6,274.1470031738281
2018-09-18 04:00:00,0.4,273.9136962890625
2018-09-18 05:00:00,0.2,273.92510986328125
2018-09-18 06:00:00,0.5,274.364501953125
2018-09-18 07:00:00,0.6,274.53094482421875
2018-09-18 08:00:00,0.6,274.668212890625
2018-09-18 09:00:00,1.4,274.7314453125
2018-09-18 10:00:00,1.4,274.732421875
2018-09-18 11:00:00,1.6,274.730712890625
2018-09-18 12:00:00,1.6,274.750732421875
2018-09-18 13:00:00,1.2,274.71875
2018-09-18 14:00:00,1.2,274.66748046875
2018-09-18 15:00:00,1.3,274.67431640625
2018-09-18 16:00:00,0.5,274.5908203125
2018-09-18 17:00:00,0.4,274.380615234375
2018-09-18 18:00:00,0.2,274.174560546875
2018-09-18 19:00:00,0.0,273.957275390625
2018-09-18 20:00:00,0.1,273.99310302734375
2018-09-18 21:00:00,-0.1,273.99493408203125
2018-09-18 22:00:00,0.3,274.140380859375
2018-09-18 23:00:00,0.5,273.7994689941406
2018-09-19 00:00:00,0.6,273.45263671875
2018-09-19 01:00:00,0.5,273.2340393066406
2018-09-19 02:00:00,0.5,273.1761779785156
2018-09-19 03:00:00,0.8,273.35858154296875
2018-09-19 04:00:00,0.2,273.52264404296875
2018-09-19 05:00:00,0.7,273.2225341796875
2018-09-19 06:00:00,0.8,273.9383239746094
2018-09-19 07:00:00,1.4,274.2359619140625
2018-09-19 08:00:00,1.4,274.35595703125
2018-09-19 09:00:00,1.3,274.48388671875
2018-09-19 10:00:00,1.0,274.671142578125
2018-09-19 11:00:00,1.0,274.689208984375
2018-09-19 12:00:00,1.6,274.7568359375
2018-09-19 13:00:00,1.9,274.73681640625
2018-09-19 14:00:00,1.6,274.66900634765625
2018-09-19 15:00:00,1.4,274.5902099609375
2018-09-19 16:00:00,1.4,274.427734375
2018-09-19 17:00:00,1.5,274.2708740234375
2018-09-19 18:00:00,1.4,274.02227783203125
2018-09-19 19:00:00,0.9,274.03533935546875
2018-09-19 20:00:00,1.0,273.9169921875
2018-09-19 21:00:00,0.9,273.843017578125
2018-09-19 22:00:00,0.8,273.8955078125
2018-09-19 23:00:00,0.4,274.0317077636719
2018-09-20 00:00:00,0.5,274.1707763671875
2018-09-20 01:00:00,0.4,274.3230895996094
2018-09-20 02:00:00,0.4,274.2796936035156
2018-09-20 03:00:00,0.6,274.0931396484375
2018-09-20 04:00:00,0.6,274.14617919921875
2018-09-20 05:00:00,0.6,274.2491455078125
2018-09-20 06:00:00,0.5,274.5477294921875
2018-09-20 07:00:00,0.6,274.6596374511719
2018-09-20 08:00:00,0.7,274.7648010253906
2018-09-20 09:00:00,1.2,274.9803771972656
2018-09-20 10:00:00,0.9,274.96075439453125
2018-09-20 11:00:00,1.0,274.912353515625
2018-09-20 12:00:00,1.2,274.9973449707031
2018-09-20 13:00:00,1.4,274.8443298339844
2018-09-20 14:00:00,1.4,274.839599609375
2018-09-20 15:00:00,1.5,274.6192932128906
2018-09-20 16:00:00,1.3,274.831787109375
2018-09-20 17:00:00,1.4,274.5555419921875
2018-09-20 18:00:00,1.4,274.5137939453125
2018-09-20 19:00:00,1.0,274.407470703125
2018-09-20 20:00:00,1.0,274.41998291015625
2018-09-20 21:00:00,1.4,274.21514892578125
2018-09-20 22:00:00,1.7,274.20892333984375
2018-09-20 23:00:00,1.7,274.11712646484375
2018-09-21 00:00:00,1.2,274.28558349609375
2018-09-21 01:00:00,1.4,274.27996826171875
2018-09-21 02:00:00,1.7,274.15771484375
2018-09-21 03:00:00,1.2,273.8009948730469
2018-09-21 04:00:00,1.3,273.9381408691406
2018-09-21 05:00:00,1.4,273.88433837890625
2018-09-21 06:00:00,1.2,274.1045837402344
2018-09-21 07:00:00,1.4,273.94195556640625
2018-09-21 08:00:00,1.5,274.0927734375
2018-09-21 09:00:00,1.1,274.253662109375
2018-09-21 10:00:00,1.5,274.32470703125
2018-09-21 11:00:00,1.4,274.336669921875
2018-09-21 12:00:00,1.6,274.32080078125
2018-09-21 13:00:00,1.2,274.2802734375
2018-09-21 14:00:00,1.6,274.17919921875
2018-09-21 15:00:00,1.9,274.282958984375
2018-09-21 16:00:00,1.7,274.220458984375
2018-09-21 17:00:00,1.4,273.79541015625
2018-09-21 18:00:00,0.9,274.08544921875
2018-09-21 19:00:00,1.1,273.861083984375
2018-09-21 20:00:00,0.8,273.853515625
2018-09-21 21:00:00,0.7,273.994140625
2018-09-21 22:00:00,0.6,273.67724609375
2018-09-21 23:00:00,0.7,273.67822265625
2018-09-22 00:00:00,0.9,273.796630859375
2018-09-22 01:00:00,0.9,273.5576171875
2018-09-22 02:00:00,0.7,273.642822265625
2018-09-22 03:00:00,0.4,273.677001953125
2018-09-22 04:00:00,0.4,273.5207824707031
2018-09-22 05:00:00,0.4,273.34747314453125
2018-09-22 06:00:00,0.9,273.659423828125
2018-09-22 07:00:00,1.5,274.03564453125
2018-09-22 08:00:00,1.5,274.383544921875
2018-09-22 09:00:00,2.0,274.73291015625
2018-09-22 10:00:00,2.4,274.931640625
2018-09-22 11:00:00,2.6,274.9287109375
2018-09-22 12:00:00,2.8,274.88525390625
2018-09-22 13:00:00,3.0,274.819091796875
2018-09-22 14:00:00,2.8,274.747314453125
2018-09-22 15:00:00,2.4,274.707275390625
2018-09-22 16:00:00,2.3,274.666015625
2018-09-22 17:00:00,2.2,274.65380859375
2018-09-22 18:00:00,2.5,275.07470703125
2018-09-22 19:00:00,2.3,274.9384765625
2018-09-22 20:00:00,2.8,274.919921875
2018-09-22 21:00:00,3.3,274.884033203125
2018-09-22 22:00:00,3.6,274.962158203125
2018-09-22 23:00:00,3.3,275.02880859375
2018-09-23 00:00:00,3.3,274.9716796875
2018-09-23 01:00:00,3.6,274.88720703125
2018-09-23 02:00:00,3.7,274.781494140625
2018-09-23 03:00:00,3.7,274.6962890625
2018-09-23 04:00:00,4.0,274.75634765625
2018-09-23 05:00:00,3.0,274.879150390625
2018-09-23 06:00:00,2.8,275.23046875
2018-09-23 07:00:00,2.8,275.21728515625
2018-09-23 08:00:00,2.9,275.3828125
2018-09-23 09:00:00,2.0,275.49853515625
2018-09-23 10:00:00,2.3,275.516357421875
2018-09-23 11:00:00,2.3,275.61767578125
2018-09-23 12:00:00,2.3,275.677490234375
2018-09-23 13:00:00,3.0,275.79052734375
2018-09-23 14:00:00,3.4,275.85986328125
2018-09-23 15:00:00,3.9,275.974365234375
2018-09-23 16:00:00,3.9,276.09326171875
2018-09-23 17:00:00,4.4,276.21044921875
2018-09-23 18:00:00,4.1,276.293212890625
2018-09-23 19:00:00,4.4,276.62548828125
2018-09-23 20:00:00,3.1,276.92138671875
2018-09-23 21:00:00,3.4,276.9833984375
2018-09-23 22:00:00,3.3,277.24755859375
2018-09-23 23:00:00,4.4,277.370361328125
2018-09-24 00:00:00,4.9,277.3583984375
2018-09-24 01:00:00,4.4,277.16650390625
2018-09-24 02:00:00,3.4,276.974609375
2018-09-24 03:00:00,2.9,277.18115234375
2018-09-24 04:00:00,3.3,277.1640625
2018-09-24 05:00:00,3.0,277.09423828125
2018-09-24 06:00:00,3.1,276.853271484375
2018-09-24 07:00:00,3.2,276.749267578125
2018-09-24 08:00:00,3.7,277.324951171875
2018-09-24 09:00:00,3.7,276.90087890625
2018-09-24 10:00:00,4.0,276.971923828125
2018-09-24 11:00:00,4.1,276.976318359375
2018-09-24 12:00:00,3.8,276.8681640625
2018-09-24 13:00:00,3.5,276.85205078125
2018-09-24 14:00:00,3.2,276.767333984375
2018-09-24 15:00:00,3.0,276.564453125
2018-09-24 16:00:00,2.8,276.566650390625
2018-09-24 17:00:00,2.4,276.662353515625
2018-09-24 18:00:00,2.2,276.3857421875
2018-09-24 19:00:00,4.0,276.43603515625
2018-09-24 20:00:00,3.9,276.4453125
2018-09-24 21:00:00,3.2,276.409912109375
2018-09-24 22:00:00,2.9,276.473876953125
2018-09-24 23:00:00,3.3,276.430419921875
2018-09-25 00:00:00,2.8,276.41796875
2018-09-25 01:00:00,2.5,275.669921875
2018-09-25 02:00:00,2.2,275.462158203125
2018-09-25 03:00:00,2.1,275.30322265625
2018-09-25 04:00:00,1.8,275.141357421875
2018-09-25 05:00:00,1.7,274.978759765625
2018-09-25 06:00:00,1.4,274.7685546875
2018-09-25 07:00:00,1.0,274.800537109375
2018-09-25 08:00:00,0.7,274.681884765625
2018-09-25 09:00:00,0.7,274.58935546875
2018-09-25 10:00:00,0.6,274.51025390625
2018-09-25 11:00:00,0.7,274.425537109375
2018-09-25 12:00:00,0.6,274.305908203125
2018-09-25 13:00:00,0.4,274.194580078125
2018-09-25 14:00:00,0.3,274.0966796875
2018-09-25 15:00:00,0.2,273.994384765625
2018-09-25 16:00:00,0.1,273.81103515625
2018-09-25 17:00:00,-0.1,273.649169921875
2018-09-25 18:00:00,-0.2,273.69091796875
2018-09-25 19:00:00,-0.3,273.678466796875
2018-09-25 20:00:00,-0.6,273.637939453125
2018-09-25 21:00:00,-0.6,273.471923828125
2018-09-25 22:00:00,-0.7,273.21826171875
2018-09-25 23:00:00,-0.8,273.149658203125
2018-09-26 00:00:00,-0.9,272.746337890625
2018-09-26 01:00:00,-1.0,272.50634765625
2018-09-26 02:00:00,-1.1,272.398193359375
2018-09-26 03:00:00,-1.1,272.24169921875
2018-09-26 04:00:00,-1.4,272.00146484375
2018-09-26 05:00:00,-1.4,272.030029296875
2018-09-26 06:00:00,-1.6,271.93701171875
2018-09-26 07:00:00,-1.7,272.0859375
2018-09-26 08:00:00,-1.8,272.086669921875
2018-09-26 09:00:00,-1.7,271.9619140625
2018-09-26 10:00:00,-1.6,272.361328125
2018-09-26 11:00:00,-1.5,272.605224609375
2018-09-26 12:00:00,-1.5,272.4364929199219
2018-09-26 13:00:00,-1.3,272.1878662109375
2018-09-26 14:00:00,-1.2,271.9052734375
2018-09-26 15:00:00,-0.8,271.572021484375
2018-09-26 16:00:00,-1.2,271.031005859375
2018-09-26 17:00:00,-1.8,270.556396484375
2018-09-26 18:00:00,-2.3,270.738525390625
2018-09-26 19:00:00,-2.3,270.3082275390625
2018-09-26 20:00:00,-2.7,269.8091735839844
2018-09-26 21:00:00,-2.6,269.70703125
2018-09-26 22:00:00,-2.8,269.65240478515625
2018-09-26 23:00:00,-2.6,269.74029541015625
2018-09-27 00:00:00,-2.6,269.81732177734375
2018-09-27 01:00:00,-3.2,269.79168701171875
2018-09-27 02:00:00,-2.8,269.93536376953125
2018-09-27 03:00:00,-3.3,270.1134948730469
2018-09-27 04:00:00,-3.3,270.484130859375
2018-09-27 05:00:00,-3.1,270.5665588378906
2018-09-27 06:00:00,-2.7,271.20123291015625
2018-09-27 07:00:00,-3.2,271.4234924316406
2018-09-27 08:00:00,-2.4,271.29937744140625
2018-09-27 09:00:00,-3.2,271.61785888671875
2018-09-27 10:00:00,-3.4,271.81878662109375
2018-09-27 11:00:00,-3.1,272.290283203125
2018-09-27 12:00:00,-2.7,271.89697265625
2018-09-27 13:00:00,-2.3,272.291748046875
2018-09-27 14:00:00,-2.5,272.11279296875
2018-09-27 15:00:00,-2.7,272.127685546875
2018-09-27 16:00:00,-3.0,271.699462890625
2018-09-27 17:00:00,-3.1,271.60595703125
2018-09-27 18:00:00,-4.0,272.05157470703125
2018-09-27 19:00:00,-3.9,271.91925048828125
2018-09-27 20:00:00,-4.0,271.96728515625
2018-09-27 21:00:00,-4.8,272.20166015625
2018-09-27 22:00:00,-3.5,271.753173828125
2018-09-27 23:00:00,-4.1,271.76287841796875
2018-09-28 00:00:00,-3.8,271.65283203125
2018-09-28 01:00:00,-4.6,271.40521240234375
2018-09-28 02:00:00,-4.0,272.17266845703125
2018-09-28 03:00:00,-3.5,271.9776306152344
2018-09-28 04:00:00,-5.5,271.93243408203125
2018-09-28 05:00:00,-5.9,271.8972473144531
2018-09-28 06:00:00,-4.6,271.029296875
2018-09-28 07:00:00,-4.3,272.007568359375
2018-09-28 08:00:00,-4.6,272.2314453125
2018-09-28 09:00:00,-3.6,272.511474609375
2018-09-28 10:00:00,-3.1,272.639404296875
2018-09-28 11:00:00,-3.3,272.441162109375
2018-09-28 12:00:00,-3.6,271.892333984375
2018-09-28 13:00:00,-3.1,271.55322265625
2018-09-28 14:00:00,-3.1,271.492431640625
2018-09-28 15:00:00,-3.2,271.15771484375
2018-09-28 16:00:00,-3.2,270.7998046875
2018-09-28 17:00:00,-3.4,270.68017578125
2018-09-28 18:00:00,-3.5,270.5068359375
2018-09-28 19:00:00,-3.3,269.8379211425781
2018-09-28 20:00:00,-3.7,270.1573181152344
2018-09-28 21:00:00,-6.8,270.4596252441406
2018-09-28 22:00:00,-6.5,270.7038269042969
2018-09-28 23:00:00,-6.0,270.7268981933594
2018-09-29 00:00:00,-5.4,270.66961669921875
2018-09-29 01:00:00,-4.6,270.66668701171875
2018-09-29 02:00:00,-3.7,270.6856689453125
2018-09-29 03:00:00,-4.2,270.7493591308594
2018-09-29 04:00:00,-5.2,270.69976806640625
2018-09-29 05:00:00,-4.4,270.71630859375
2018-09-29 06:00:00,-5.5,270.969970703125
2018-09-29 07:00:00,-5.0,270.97235107421875
2018-09-29 08:00:00,-3.8,270.9375305175781
2018-09-29 09:00:00,-4.5,271.10809326171875
2018-09-29 10:00:00,-4.7,271.19439697265625
2018-09-29 11:00:00,-4.3,271.14678955078125
2018-09-29 12:00:00,-2.5,271.2839050292969
2018-09-29 13:00:00,-3.1,271.32537841796875
2018-09-29 14:00:00,-4.3,271.20416259765625
2018-09-29 15:00:00,-4.9,270.6718444824219
2018-09-29 16:00:00,-5.8,270.19525146484375
2018-09-29 17:00:00,-5.7,269.8218688964844
2018-09-29 18:00:00,-4.8,269.5057678222656
2018-09-29 19:00:00,-4.7,269.484619140625
2018-09-29 20:00:00,-4.5,269.39532470703125
2018-09-29 21:00:00,-6.7,269.2276306152344
2018-09-29 22:00:00,-5.2,269.118896484375
2018-09-29 23:00:00,-4.6,269.08935546875
2018-09-30 00:00:00,-5.2,269.08087158203125
2018-09-30 01:00:00,-4.7,269.1905517578125
2018-09-30 02:00:00,-4.7,269.33026123046875
2018-09-30 03:00:00,-3.3,269.4476318359375
2018-09-30 04:00:00,-3.2,269.40496826171875
2018-09-30 05:00:00,-3.2,269.30584716796875
2018-09-30 06:00:00,-3.7,269.3387451171875
2018-09-30 07:00:00,-3.0,269.56964111328125
2018-09-30 08:00:00,-2.1,269.8129577636719
2018-09-30 09:00:00,-2.0,270.1438903808594
